start_time,order_map,latitude,longitude,accuracy,altitude,altitudeAccuracy,heading,speed,timestamp,year,month,date,assess_time,id,consent,consent,age,Grade,Gender,pa_init_sound_auto_stop,pa_init_sound_time_remain,pa_init_sound_attempted,pa_init_sound_item_at_time,pa_init_sound_time_intermediate_captured,pa_init_sound_1,pa_init_sound_2,pa_init_sound_3,pa_init_sound_4,pa_init_sound_5,pa_init_sound_6,pa_init_sound_7,pa_init_sound_8,pa_init_sound_9,pa_init_sound_10,pa_init_sound_time_allowed,pa_init_sound_items_per_minute,letter_auto_stop,letter_time_remain,letter_attempted,letter_item_at_time,letter_time_intermediate_captured,letter_1,letter_2,letter_3,letter_4,letter_5,letter_6,letter_7,letter_8,letter_9,letter_10,letter_11,letter_12,letter_13,letter_14,letter_15,letter_16,letter_17,letter_18,letter_19,letter_20,letter_time_allowed,letter_items_per_minute,invented_word_auto_stop,invented_word_time_remain,invented_word_attempted,invented_word_item_at_time,invented_word_time_intermediate_captured,invented_word_1,invented_word_2,invented_word_3,invented_word_4,invented_word_5,invented_word_6,invented_word_7,invented_word_8,invented_word_9,invented_word_10,invented_word_11,invented_word_12,invented_word_13,invented_word_14,invented_word_time_allowed,invented_word_items_per_minute,familiar_word_auto_stop,familiar_word_time_remain,familiar_word_attempted,familiar_word_item_at_time,familiar_word_time_intermediate_captured,familiar_word_1,familiar_word_2,familiar_word_3,familiar_word_4,familiar_word_5,familiar_word_6,familiar_word_7,familiar_word_8,familiar_word_9,familiar_word_10,familiar_word_11,familiar_word_12,familiar_word_13,familiar_word_14,familiar_word_15,familiar_word_16,familiar_word_17,familiar_word_18,familiar_word_19,familiar_word_20,familiar_word_21,familiar_word_22,familiar_word_23,familiar_word_24,familiar_word_25,familiar_word_26,familiar_word_27,familiar_word_28,familiar_word_29,familiar_word_30,familiar_word_31,familiar_word_32,familiar_word_33,familiar_word_34,familiar_word_35,familiar_word_36,familiar_word_37,familiar_word_38,familiar_word_39,familiar_word_40,familiar_word_time_allowed,familiar_word_items_per_minute,reading_passage_auto_stop,reading_passage_time_remain,reading_passage_attempted,reading_passage_item_at_time,reading_passage_time_intermediate_captured,reading_passage_1,reading_passage_2,reading_passage_3,reading_passage_4,reading_passage_5,reading_passage_6,reading_passage_7,reading_passage_8,reading_passage_9,reading_passage_10,reading_passage_11,reading_passage_12,reading_passage_13,reading_passage_14,reading_passage_15,reading_passage_16,reading_passage_17,reading_passage_18,reading_passage_19,reading_passage_20,reading_passage_21,reading_passage_22,reading_passage_23,reading_passage_24,reading_passage_25,reading_passage_26,reading_passage_27,reading_passage_28,reading_passage_29,reading_passage_30,reading_passage_31,reading_passage_32,reading_passage_33,reading_passage_34,reading_passage_35,reading_passage_36,reading_passage_37,reading_passage_38,reading_passage_39,reading_passage_40,reading_passage_41,reading_passage_42,reading_passage_43,reading_passage_44,reading_passage_45,reading_passage_46,reading_passage_47,reading_passage_48,reading_passage_49,reading_passage_50,reading_passage_51,reading_passage_52,reading_passage_53,reading_passage_54,reading_passage_55,reading_passage_time_allowed,reading_passage_items_per_minute,reading_comp_att1,reading_comp1,reading_comp2,reading_comp3,reading_comp4,reading_comp5,dict1,dict2,dict3,Pupil_context_1_0,Pupil_context_1_1,Pupil_context_1_2,Pupil_context_1_3,Pupil_context_2,Pupil_context_3,Pupil_context_4,Pupil_context_5,Pupil_context_6,additional_comments,end_time,timestamp_0,timestamp_1,timestamp_2,timestamp_3,timestamp_4,timestamp_5,timestamp_6,timestamp_7,timestamp_8,timestamp_9,timestamp_10,timestamp_11,timestamp_12,timestamp_13,timestamp_14,timestamp_15,timestamp_16,timestamp_17
1.47454E+12,no_record,,,,,,,,,2016,,22,11:03,VBMWMS,yes,yes,12,4,0,FALSE,1966,10,,,1,1,1,1,0,1,1,1,1,1,no_record,NaN,FALSE,1963,20,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,no_record,NaN,FALSE,1963,14,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,no_record,NaN,FALSE,1833,40,,,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,no_record,NaN,FALSE,1844,55,,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,no_record,NaN,1,1,0,0,1,1,2,4,1,0,1,0,0,1,1,1,0,999,,1.47454E+12,1.47454E+12,1.47454E+12,1.47454E+12,1.47454E+12,1.47454E+12,1.47454E+12,1.47454E+12,1.47454E+12,1.47454E+12,1.47454E+12,1.47454E+12,1.47454E+12,1.47454E+12,1.47454E+12,1.47454E+12,1.47454E+12,1.47454E+12,1.47454E+12
1.47437E+12,no_record,8.353719523,-12.13463022,16,123.7001077,...,...,0,1.47437E+12,2016,9,20,12:14,VHHXHY,yes,yes,12,4,1,FALSE,1972,10,,,1,1,1,1,1,1,0,1,1,1,no_record,NaN,FALSE,1976,20,,,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,no_record,NaN,TRUE,1958,6,,,0,0,0,0,0,0,.,.,.,.,.,.,.,.,no_record,NaN,TRUE,1981,8,,,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,no_record,NaN,TRUE,1976,11,,,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,no_record,NaN,0,0,0,3,0,0,2,0,0,0,1,0,0,1,1,1,1,2,,1.47437E+12,1.47437E+12,1.47437E+12,1.47437E+12,1.47437E+12,1.47437E+12,1.47437E+12,1.47437E+12,1.47437E+12,1.47437E+12,1.47437E+12,1.47437E+12,1.47437E+12,1.47437E+12,1.47437E+12,1.47437E+12,1.47437E+12,1.47437E+12,1.47437E+12
1.47437E+12,no_record,8.35379936,-12.13452833,24,134.8857719,...,...,0,1.47437E+12,2016,9,20,12:21,FXMFPC,yes,yes,12,4,1,FALSE,1956,10,,,0,0,1,1,1,0,1,0,1,1,no_record,NaN,FALSE,1942,20,,,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,no_record,NaN,FALSE,1956,14,,,0,1,1,1,1,1,1,1,1,0,0,1,0,1,no_record,NaN,TRUE,1937,8,,,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,no_record,NaN,TRUE,1955,11,,,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,no_record,NaN,0,0,0,3,0,0,2,1,0,0,1,0,0,1,1,1,1,2,,1.47437E+12,1.47437E+12,1.47437E+12,1.47437E+12,1.47437E+12,1.47437E+12,1.47437E+12,1.47437E+12,1.47437E+12,1.47437E+12,1.47437E+12,1.47437E+12,1.47437E+12,1.47437E+12,1.47437E+12,1.47437E+12,1.47437E+12,1.47437E+12,1.47437E+12
1.47437E+12,no_record,,,,,,,,,2016,9,20,12:32,FSVPGR,yes,yes,12,4,1,FALSE,1949,10,,,1,1,1,0,1,0,1,1,1,1,no_record,NaN,FALSE,1908,20,,,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,no_record,NaN,FALSE,1956,14,,,0,1,1,0,1,1,0,0,1,0,0,1,1,0,no_record,NaN,FALSE,1901,39,,,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,.,no_record,NaN,TRUE,1970,11,,,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,no_record,NaN,0,0,0,0,0,0,2,1,1,0,1,0,0,1,1,1,1,1,,1.47438E+12,1.47437E+12,1.47437E+12,1.47437E+12,1.47437E+12,1.47437E+12,1.47437E+12,1.47437E+12,1.47437E+12,1.47437E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12
1.47438E+12,no_record,,,,,,,,,2016,9,20,12:42,ZESSWT,yes,yes,11,4,1,FALSE,1959,10,,,0,1,1,1,0,1,0,0,0,0,no_record,NaN,FALSE,1978,20,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,no_record,NaN,FALSE,1969,14,,,0,1,1,1,1,1,1,0,1,1,1,1,0,1,no_record,NaN,FALSE,1933,40,,,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,no_record,NaN,TRUE,1969,11,,,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,no_record,NaN,0,0,0,0,3,0,2,2,1,0,1,0,0,1,1,1,1,1,,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12
1.47438E+12,no_record,8.353810686,-12.13471317,16,119.7451115,...,...,0,1.47438E+12,2016,9,20,12:51,TZSKMH,yes,yes,13,4,0,FALSE,1978,10,,,1,1,1,1,1,1,1,1,1,1,no_record,NaN,FALSE,1986,20,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,no_record,NaN,FALSE,1985,14,,,1,1,1,1,1,1,0,1,1,1,1,1,1,1,no_record,NaN,FALSE,1959,40,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,no_record,NaN,FALSE,1957,55,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,no_record,NaN,1,1,1,1,0,0,2,3,2,0,1,0,0,1,1,1,0,999,,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12
1.47438E+12,no_record,8.353909396,-12.13460298,48,130.3105952,...,...,0,1.47438E+12,2016,9,20,12:59,FMMXPP,yes,yes,10,4,0,FALSE,1951,10,,,1,1,1,1,1,1,1,1,0,1,no_record,NaN,FALSE,1942,20,,,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,no_record,NaN,FALSE,1974,14,,,1,1,1,1,1,1,0,1,1,0,1,1,1,1,no_record,NaN,FALSE,1926,40,,,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,no_record,NaN,TRUE,1968,11,,,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,no_record,NaN,0,0,3,3,3,3,2,0,0,0,1,0,0,1,1,1,0,999,,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12
1.47438E+12,no_record,,,,,,,,,2016,9,20,13:08,RUXBPA,yes,yes,12,4,0,FALSE,1967,10,,,1,1,1,1,1,0,1,0,0,1,no_record,NaN,FALSE,1968,20,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,no_record,NaN,FALSE,1985,14,,,1,1,1,1,1,1,1,1,1,0,1,1,1,1,no_record,NaN,FALSE,1888,40,,,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,no_record,NaN,FALSE,1957,55,,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,no_record,NaN,1,0,0,0,0,0,2,0,0,0,1,0,0,1,1,1,1,1,,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12
1.47438E+12,no_record,,,,,,,,,2016,9,20,13:17,GFWQHE,yes,yes,12,4,0,FALSE,1977,10,,,1,1,1,1,1,1,1,1,1,1,no_record,NaN,FALSE,1975,20,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,no_record,NaN,FALSE,1984,14,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,no_record,NaN,FALSE,1930,40,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,no_record,NaN,TRUE,1966,11,,,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,no_record,NaN,0,0,0,0,0,0,2,2,1,0,1,1,0,1,1,1,0,999,,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12
1.47438E+12,no_record,,,,,,,,,2016,9,20,13:25,AQCUSN,yes,yes,13,4,0,FALSE,1963,10,,,1,1,1,0,1,1,1,0,1,0,no_record,NaN,FALSE,1955,20,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,no_record,NaN,FALSE,1970,14,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,no_record,NaN,FALSE,1947,40,,,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,no_record,NaN,TRUE,1954,11,,,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,no_record,NaN,1,0,0,0,0,0,2,0,0,0,1,0,0,1,1,1,0,999,,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12,1.47438E+12
